schema_ver,record_id,seq,epoch_utc,iso8601_local,raw_rtd_ohms,raw_temp_c,cal_temp_c,flags,node_id
2,104175,104175,1768279413,2026-01-12T22:43:33.509-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104176,104176,1768279414,2026-01-12T22:43:34.569-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104177,104177,1768279415,2026-01-12T22:43:35.629-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104178,104178,1768279416,2026-01-12T22:43:36.689-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104179,104179,1768279417,2026-01-12T22:43:37.749-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104180,104180,1768279418,2026-01-12T22:43:38.809-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104181,104181,1768279419,2026-01-12T22:43:39.869-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104182,104182,1768279420,2026-01-12T22:43:40.929-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104183,104183,1768279421,2026-01-12T22:43:41.989-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104184,104184,1768279423,2026-01-12T22:43:43.049-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104185,104185,1768279424,2026-01-12T22:43:44.109-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104186,104186,1768279425,2026-01-12T22:43:45.169-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104187,104187,1768279426,2026-01-12T22:43:46.229-06:00,109.311,23.900,23.900,0x0001,98:A3:16:12:57:B0
2,104188,104188,1768279427,2026-01-12T22:43:47.289-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104189,104189,1768279428,2026-01-12T22:43:48.349-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104190,104190,1768279429,2026-01-12T22:43:49.409-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104191,104191,1768279430,2026-01-12T22:43:50.469-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104192,104192,1768279431,2026-01-12T22:43:51.529-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104193,104193,1768279432,2026-01-12T22:43:52.589-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104194,104194,1768279433,2026-01-12T22:43:53.649-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104195,104195,1768279434,2026-01-12T22:43:54.709-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104196,104196,1768279435,2026-01-12T22:43:55.769-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104197,104197,1768279436,2026-01-12T22:43:56.829-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104198,104198,1768279437,2026-01-12T22:43:57.889-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104199,104199,1768279438,2026-01-12T22:43:58.949-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104200,104200,1768279440,2026-01-12T22:44:00.009-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104201,104201,1768279441,2026-01-12T22:44:01.069-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104202,104202,1768279442,2026-01-12T22:44:02.129-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104203,104203,1768279443,2026-01-12T22:44:03.189-06:00,109.298,23.866,23.866,0x0001,98:A3:16:12:57:B0
2,104204,104204,1768279444,2026-01-12T22:44:04.249-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104205,104205,1768279445,2026-01-12T22:44:05.309-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104206,104206,1768279446,2026-01-12T22:44:06.369-06:00,109.272,23.799,23.799,0x0001,98:A3:16:12:57:B0
2,104207,104207,1768279447,2026-01-12T22:44:07.429-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104208,104208,1768279448,2026-01-12T22:44:08.489-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104209,104209,1768279449,2026-01-12T22:44:09.549-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104210,104210,1768279450,2026-01-12T22:44:10.609-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104211,104211,1768279451,2026-01-12T22:44:11.669-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104212,104212,1768279452,2026-01-12T22:44:12.729-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104213,104213,1768279453,2026-01-12T22:44:13.789-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
2,104214,104214,1768279454,2026-01-12T22:44:14.849-06:00,109.285,23.832,23.832,0x0001,98:A3:16:12:57:B0
