schema_ver,seq,epoch_utc,iso8601_local,raw_rtd_ohms,raw_temp_c,cal_temp_c,flags,node_id
1,2585,1766767417,2025-12-26T10:43:37.551-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2586,1766767418,2025-12-26T10:43:38.611-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2587,1766767419,2025-12-26T10:43:39.671-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2588,1766767420,2025-12-26T10:43:40.731-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2589,1766767421,2025-12-26T10:43:41.791-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2590,1766767422,2025-12-26T10:43:42.851-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2591,1766767423,2025-12-26T10:43:43.911-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2592,1766767424,2025-12-26T10:43:44.972-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2593,1766767426,2025-12-26T10:43:46.031-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2594,1766767427,2025-12-26T10:43:47.092-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2595,1766767428,2025-12-26T10:43:48.152-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2596,1766767429,2025-12-26T10:43:49.212-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2597,1766767430,2025-12-26T10:43:50.271-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2598,1766767431,2025-12-26T10:43:51.331-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2599,1766767432,2025-12-26T10:43:52.392-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2600,1766767433,2025-12-26T10:43:53.451-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2601,1766767434,2025-12-26T10:43:54.511-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2602,1766767435,2025-12-26T10:43:55.572-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2603,1766767436,2025-12-26T10:43:56.632-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2604,1766767437,2025-12-26T10:43:57.691-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2605,1766767438,2025-12-26T10:43:58.751-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2606,1766767439,2025-12-26T10:43:59.811-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2607,1766767440,2025-12-26T10:44:00.871-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2608,1766767441,2025-12-26T10:44:01.931-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2609,1766767442,2025-12-26T10:44:02.992-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2610,1766767444,2025-12-26T10:44:04.051-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2611,1766767445,2025-12-26T10:44:05.112-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2612,1766767446,2025-12-26T10:44:06.172-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2613,1766767447,2025-12-26T10:44:07.231-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2614,1766767448,2025-12-26T10:44:08.291-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2615,1766767449,2025-12-26T10:44:09.351-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2616,1766767450,2025-12-26T10:44:10.412-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2617,1766767451,2025-12-26T10:44:11.471-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2618,1766767452,2025-12-26T10:44:12.531-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2619,1766767453,2025-12-26T10:44:13.591-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2620,1766767454,2025-12-26T10:44:14.651-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2621,1766767455,2025-12-26T10:44:15.711-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2622,1766767456,2025-12-26T10:44:16.771-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2623,1766767457,2025-12-26T10:44:17.831-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2624,1766767458,2025-12-26T10:44:18.891-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2625,1766767459,2025-12-26T10:44:19.951-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2626,1766767461,2025-12-26T10:44:21.011-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2627,1766767462,2025-12-26T10:44:22.071-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2628,1766767463,2025-12-26T10:44:23.131-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2629,1766767464,2025-12-26T10:44:24.191-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2630,1766767465,2025-12-26T10:44:25.251-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2631,1766767466,2025-12-26T10:44:26.311-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2632,1766767467,2025-12-26T10:44:27.371-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2633,1766767468,2025-12-26T10:44:28.431-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2634,1766767469,2025-12-26T10:44:29.491-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2635,1766767470,2025-12-26T10:44:30.551-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2636,1766767471,2025-12-26T10:44:31.611-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2637,1766767472,2025-12-26T10:44:32.671-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2638,1766767473,2025-12-26T10:44:33.731-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2639,1766767474,2025-12-26T10:44:34.791-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2640,1766767475,2025-12-26T10:44:35.851-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2641,1766767476,2025-12-26T10:44:36.911-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2642,1766767477,2025-12-26T10:44:37.972-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2643,1766767479,2025-12-26T10:44:39.031-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2644,1766767480,2025-12-26T10:44:40.091-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2645,1766767481,2025-12-26T10:44:41.151-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2646,1766767482,2025-12-26T10:44:42.212-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2647,1766767483,2025-12-26T10:44:43.271-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2648,1766767484,2025-12-26T10:44:44.332-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2649,1766767485,2025-12-26T10:44:45.391-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2650,1766767486,2025-12-26T10:44:46.451-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2651,1766767487,2025-12-26T10:44:47.511-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2652,1766767488,2025-12-26T10:44:48.571-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2653,1766767489,2025-12-26T10:44:49.632-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2654,1766767490,2025-12-26T10:44:50.692-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2655,1766767491,2025-12-26T10:44:51.751-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2656,1766767492,2025-12-26T10:44:52.811-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2657,1766767493,2025-12-26T10:44:53.871-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2658,1766767494,2025-12-26T10:44:54.931-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2659,1766767495,2025-12-26T10:44:55.991-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2660,1766767497,2025-12-26T10:44:57.051-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2661,1766767498,2025-12-26T10:44:58.111-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2662,1766767499,2025-12-26T10:44:59.171-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2663,1766767500,2025-12-26T10:45:00.231-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2664,1766767501,2025-12-26T10:45:01.291-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2665,1766767502,2025-12-26T10:45:02.351-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2666,1766767503,2025-12-26T10:45:03.412-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2667,1766767504,2025-12-26T10:45:04.471-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2668,1766767505,2025-12-26T10:45:05.531-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2669,1766767506,2025-12-26T10:45:06.591-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2670,1766767507,2025-12-26T10:45:07.651-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2671,1766767508,2025-12-26T10:45:08.712-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2672,1766767509,2025-12-26T10:45:09.771-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2673,1766767510,2025-12-26T10:45:10.831-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2674,1766767511,2025-12-26T10:45:11.891-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2675,1766767512,2025-12-26T10:45:12.951-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2676,1766767514,2025-12-26T10:45:14.011-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2677,1766767515,2025-12-26T10:45:15.071-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2678,1766767516,2025-12-26T10:45:16.131-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2679,1766767517,2025-12-26T10:45:17.191-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2680,1766767518,2025-12-26T10:45:18.251-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2681,1766767519,2025-12-26T10:45:19.311-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2682,1766767520,2025-12-26T10:45:20.372-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2683,1766767521,2025-12-26T10:45:21.431-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2684,1766767522,2025-12-26T10:45:22.491-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2685,1766767523,2025-12-26T10:45:23.551-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2686,1766767524,2025-12-26T10:45:24.611-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2687,1766767525,2025-12-26T10:45:25.671-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2688,1766767526,2025-12-26T10:45:26.732-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2689,1766767527,2025-12-26T10:45:27.792-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2690,1766767528,2025-12-26T10:45:28.852-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2691,1766767529,2025-12-26T10:45:29.911-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
